   Run Number          Y_Requested       Y_Moved           X_Requested      X_Moved      Average_Intensity_M4    Average_Intensity_M1        
      4369            -17386            -17386             -3192             -3192        -0.009122353493        -1.823389151
      4370            -17386            -17386             -4767             -4767        -0.01519125996        -1.825759128
      4371            -17386            -17386             -6342             -6342        -0.05375703857        -1.816637538
      4372            -17386            -17386             -7917             -7917        -0.144674513        -1.818330937
      4373            -17386            -17386             -9492             -9492        -0.2557300316        -1.819433279
      4374            -17386            -17386            -11067            -11067        -0.3027419777        -1.820078314
      4375            -17386            -17386            -12642            -12642        -0.3053851838        -1.815166323
      4376            -17386            -17386            -14217            -14217        -0.3109992792        -1.825170982
      4377            -17386            -17386            -15792            -15792        -0.3102989161        -1.81796586
      4378            -17386            -17386            -17367            -17367        -0.3092373967        -1.823300373
      4379            -17386            -17386            -18942            -18942        -0.3142044485        -1.823935776
      4380            -17386            -17386            -20517            -20517        -0.3182012115        -1.821772414
      4381            -17386            -17386            -22092            -22092        -0.2783993923        -1.81540423
      4382            -17386            -17386            -23667            -23667        -0.1531179711        -1.826790833
      4383            -17386            -17386            -25242            -25242        -0.04948846688        -1.815883015
      4384            -17386            -17386            -26817            -26817        -0.01037652504        -1.818381585
